keyword,classification
left,republican
sheep,republican
brainwashed,republican
self-ruling,democrat
loyalism,democrat
protestantism,democrat
radicalism,democrat
liberalism,democrat
unionism,democrat
social-democracy,democrat
nationalism,democrat
internationalism,democrat
reformism,democrat
orangeism,democrat
whistle-stopper,democrat
threat,republican
lockdown,republican
Senate,republican
additional military,republican
invasion,democrat
sponsors,democrat
obama,democrat
climate change,democrat
time,democrat
child,democrat
family,democrat
support,democrat
troops,republican
conservative,republican
fox,republican
propaganda,republican
control information,republican,
false flag,republican
china,republican
socialism,republican
information manipulation,republican
blown it,republican
truth warriors,republican
I voted for Trump,republican